baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AT1G61740	351.691462660713	-0.870107985505557	0.236181534309898	-3.68406441277443	0.000229544194207871	0.00491887081206012
AT1G62280	63.2918922942736	-1.35644716563138	0.360759960601019	-3.75997148733347	0.000169932723906365	0.00379978941282038
AT1G63880	55.5194845868645	-1.67965326021758	0.491500533820545	-3.41739864891143	0.000632226291084015	0.0115721558800326
AT1G64780	997.044722467075	-0.543609574857306	0.114305792039017	-4.75574828851847	1.97712694148653e-06	7.07804731548131e-05
AT1G64860	344.797226836712	-0.662914619488208	0.126309183691203	-5.24834853741815	1.53468741239772e-07	6.65852238226716e-06
AT1G65570	258.239859100696	-0.539867924135109	0.153725825317847	-3.51188827914155	0.00044493499582507	0.00865250222036959
AT1G68620	29.4636909870748	-1.25669608546297	0.428262672415405	-2.93440490242867	0.00334187942033968	0.0437954440380873
AT1G68650	291.185288989991	-1.35445471492171	0.156396756241604	-8.66037600440595	4.70210664561255e-18	4.61156375485518e-16
AT1G68740	553.226954600349	-1.25344887653505	0.123897401250282	-10.1168294402155	4.65242743622687e-24	6.32910225292128e-22
AT1G69310	333.061877447433	-0.71080875623192	0.159337378606545	-4.46102956160169	8.15668365982915e-06	0.000259806392222292
AT1G72900	245.309948802118	-1.04608618739011	0.170690710671711	-6.12854784700052	8.86847602824869e-10	5.01342320460193e-08
AT1G73300	15.40422150522	-3.68085893316735	1.04816517218567	-3.51171650312697	0.000445222655273689	0.00865250222036959
AT1G73600	5851.61683236334	-0.68685061719959	0.0653295818633111	-10.513623348098	7.47646776485052e-26	1.11020281189886e-23
AT1G74470	580.771125081333	-0.664014686034553	0.112846438924765	-5.88423252307724	3.99905294167136e-09	2.07694655980498e-07
AT1G74490	237.813983700953	-1.10225258875391	0.177107081978325	-6.22365055333478	4.85718275304489e-10	2.85288455517283e-08
AT1G76410	57.1468195490226	-1.23483917660894	0.320498892863191	-3.85286565447215	0.00011674345131236	0.00274431707287895
AT1G76650	1353.78182131329	-0.601827572701206	0.178396929367289	-3.37353100659117	0.000742106880300691	0.0131496350235465
AT1G76800	81.1355376804892	-2.4282932850192	0.314953424477993	-7.71000756395608	1.25810281379878e-14	1.02823085006825e-12
AT1G79040	584.402282801027	-0.835430667362757	0.11831237082109	-7.06122835308643	1.65037119929746e-12	1.1917714763146e-10
AT1G79320	177.803906351231	-0.648083409178495	0.194266516158891	-3.33605307797061	0.000849769379465684	0.0147111963344938
AT1G80380	1729.2154660055	-1.05348087579041	0.161732267479399	-6.51373342010798	7.33055468211568e-11	4.68400230385125e-09
AT2G01430	171.078911831326	-0.542974940613654	0.181273965674769	-2.99532775482954	0.00274150087659859	0.0375769691065745
AT2G01530	1281.28927922609	-0.583965581165375	0.100344253034424	-5.81962158774597	5.89810057775831e-09	2.97529542542133e-07
AT2G02120	226.608956718392	-0.948614840747854	0.166086299660385	-5.71157791273327	1.11933429986324e-08	5.48890303416659e-07
AT2G05440	19123.688614114	-0.532465957503844	0.109802330757639	-4.84931379716453	1.23889302638885e-06	4.56701020182433e-05
AT2G05710	12488.670916023	-0.502384187116939	0.0546791546442652	-9.18785578133713	4.00749708503731e-20	4.28944586472572e-18
