baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AT1G29020	659.585704870445	0.860603370955249	0.136717255922404	6.29476773176091	3.07860485572274e-10	1.86538683872902e-08
AT1G29280	1517.25357258294	0.649278678448835	0.0780348929365882	8.32036354527256	8.7693918013722e-17	7.97031877257475e-15
AT1G29640	241.976780687768	0.949670280299609	0.21421393051945	4.43327974981245	9.28103141828245e-06	0.000292525902071605
AT1G31350	136.674575712487	0.689781704577995	0.207327340738292	3.32701756614291	0.000877808397765409	0.0150728565759621
AT1G32380	914.474951249091	1.47536638889571	0.097532729525312	15.1268850577263	1.07672662787201e-51	3.06808887504179e-49
AT1G32740	108.549136961115	1.26047593160296	0.251870631430576	5.00445774262643	5.60194986144996e-07	2.18745768108396e-05
AT1G32870	383.237793926637	0.71569338137124	0.13539110394463	5.28611821987898	1.24939167687402e-07	5.44311423524082e-06
AT1G33260	320.436718033533	1.02195170383035	0.150308217369179	6.79904080906161	1.05317984442786e-11	7.18684472479153e-10
AT1G34047	77.0374111162332	1.25187360269518	0.321376279941555	3.89535158886912	9.80563882478702e-05	0.0023629908601081
AT1G34760	728.953408301353	3.84550832712142	0.15890710020188	24.1997262692225	2.23953493408613e-129	1.8889133448056e-126
AT1G36180	503.476208804401	0.714359272414637	0.14032272739585	5.09083087017993	3.56497907585847e-07	1.44282435304322e-05
AT1G44050	362.840000102892	0.858669681492343	0.135986871625032	6.31435719662724	2.71286693151594e-10	1.6580728150129e-08
AT1G45145	235.310614809094	0.822872058824374	0.234299017274314	3.51205936925022	0.000444648657450811	0.00865250222036959
AT1G46768	60.8310623303307	1.07112279192334	0.320562857775061	3.34138146682902	0.000833626027335554	0.0144673567180226
AT1G47395	618.725569195678	3.85647694217362	0.160499771786191	24.0279278858477	1.42036624502157e-127	1.10925343120462e-124
AT1G47400	339.346661569793	4.04473154493807	0.206405676407183	19.5960286332383	1.67172851870765e-85	7.34376407197282e-83
AT1G47405	9.6468071702158	6.58872659639403	1.38766107509919	4.74808057574368	2.05356227374826e-06	7.32680441696376e-05
AT1G48300	4446.51585922691	1.1995609629548	0.0643099386027761	18.6528083997116	1.19815118749416e-77	4.76683319613242e-75
AT1G48850	3925.7199296793	0.6642760532672	0.0707694964418065	9.38647421086896	6.20423533481231e-21	7.10991881901372e-19
AT1G48930	688.455459264833	0.532233819472867	0.146565622337599	3.63136874107435	0.000281922034535074	0.00592682753759379
AT1G49000	150.577256045763	2.75044925457909	0.237236032515904	11.5937247196827	4.43421227032628e-31	8.49998181200909e-29
AT1G49710	344.909873458999	0.583011161383283	0.200419302464605	2.90895714242018	0.00362636568829561	0.0467107800265126
AT1G49820	1249.88127810939	1.88732598251193	0.100420855841896	18.7941634901357	8.42988094544119e-79	3.55504939231146e-76
